llm_name,sentence,n_items,spearman_rho
Qwen2-7B,The old hippy was known for how he shook with,41,0.39709728563681485
Qwen2-7B,The storewide clearance event attracted a huge,7,0.8017837257372733
Qwen2-7B,Mateo entered the liquor store to buy bottles of,13,0.5000702373244605
Qwen2-7B,Fiona couldn't have the bike because it had been,13,0.6307296742769206
Qwen2-7B,A week after the marathon Bailey's legs were still,16,0.5485660837836125
Qwen2-7B,"When Sheldon is upset, others can hear his teeth",11,0.4102691225996879
Qwen2-7B,None of the witnesses could describe the suspect's,12,0.26879783486081305
Qwen2-7B,The baker got bored waiting for the pudding to,18,0.32291441979454993
Qwen2-7B,Caroline becomes upset when she's told to wait a,11,0.8009085749662975
Qwen2-7B,The aroma of sugar cookies filled the,8,0.23323859266661226
Qwen2-7B,"For Eric's baked potato, he needed fresh, green",12,0.8265876768952062
Qwen2-7B,The strong weightlifter impressed the crowd by lifting a,22,0.6587152463588428
Qwen2-7B,The town was destroyed after someone vandalized the,42,0.22388170940168514
Qwen2-7B,He called home from college saying he'd met a,7,0.8669214468630109
Qwen2-7B,Mary was excited that her Picasso painting was,36,0.1744308532310078
Qwen2-7B,"Instead of the ground, Ben sat on a tatami",19,0.5074080472832486
Qwen2-7B,The city of Chicago is a metropolitan,20,0.7931798778445658
Qwen2-7B,Natalie's birthday party had a Disney princess,16,0.36006616230175215
Qwen2-7B,"After the clumsy woman fell, the crowd began to",19,0.5354352771486971
Qwen2-7B,"Despite hours of cleaning, the stain stayed on Grace's white",17,0.7400890668078349
Qwen2-7B,Jerry wanted to give the newborn baby its,16,-0.04544825785203269
Qwen2-7B,The villain said the townspeople should fear his,23,0.32164947709629654
Qwen2-7B,Marie pulled out the clothes she wanted to,12,0.4202064094863697
Qwen2-7B,"During the violent storm, lightning struck the house's",10,0.812776759390954
Qwen2-7B,Stella bought the dog when he was a young,5,0.22360679774997896
Qwen2-7B,"During the campfire, the heavy smoke made Lance",16,0.029273904584660795
Qwen2-7B,While hiking in Canada the couple saw a,10,0.5531154066888131
Qwen2-7B,"An experienced sailor, she knew how to use the",25,0.5416713719695498
Qwen2-7B,The farmer ran out of bacon and slaughtered the,5,0.5642880936468347
Qwen2-7B,He ran to the water and jumped without a,24,0.5374500784147317
Qwen2-7B,"The child wouldn't swim, because the pool was too",7,0.3555285645684319
Qwen2-7B,Dave traveled across the Atlantic Ocean in his new,12,0.31650768625889364
Qwen2-7B,During the battle all of the sailors fled the,20,0.21572957990455593
Qwen2-7B,The dish was very dry because it lacked,23,0.5224192694156065
Qwen2-7B,The babies were irritated and difficult to,18,0.5642838668902499
Qwen2-7B,Before descending the canyon we hiked the,16,0.25859017330247924
Qwen2-7B,"When told he wouldn't walk again, Lewis still had",13,0.4670164996481462
Qwen2-7B,"After eating one cookie, the child finished the entire",14,0.49990497320571775
Qwen2-7B,The teller didn't think the man's money was,14,0.1706048917998224
Qwen2-7B,"After her house was robbed, Doris installed another door",8,0.4341880276029774
Qwen2-7B,She bought the pants only because they were,28,0.19604086585973549
Qwen2-7B,"At around 12 months, children start learning to",10,0.7442397287788215
Qwen2-7B,Kelsey told her date that smoking was her only,20,0.014264238574915693
Qwen2-7B,A plant's roots can extract nutrients from the,6,0.9411239481143202
Qwen2-7B,"When Joel twisted his ankle, he began to",21,0.04368200420302194
Qwen2-7B,The thief drove around looking for a house to,6,0.5161002296110789
Qwen2-7B,Thomas didn't have a lighter to light the,11,0.4243819547261319
Qwen2-7B,"Every morning, Kate is driven to school by her",10,0.5064973735793852
Qwen2-7B,The waiter was appalled by the customer's,26,0.731653687171256
Qwen2-7B,No one believed that messiness was Geoffrey's only,15,0.7852213850075539
Qwen2-7B,"Over the summer, the boys went swimming at the",10,0.47677256827289927
Qwen2-7B,The farmer was angry when Eliza called him a,44,0.3875408635483816
Qwen2-7B,Casey had to pay multiple fines according to the,25,0.38051099924391435
Qwen2-7B,The bigger ship had a smaller boat in,16,0.5096280888062935
Qwen2-7B,"At the hospital, Elise was attended to by a",4,0.7999999999999999
Qwen2-7B,"At the luau, the cooks roasted an entire",6,0.5408987230262506
Qwen2-7B,When Lana finished school she had a lot of,29,0.27004330691175776
Qwen2-7B,Kara asked the kids not to make a,12,0.8533152132400155
Qwen2-7B,Jessie saw the kid trip and tried not to,15,0.34111442120316104
Qwen2-7B,The state funded the construction of a,24,0.7021732007719846
Qwen2-7B,"After the bathtub overflowed, Lynn used towels to",14,0.5024144331766008
Qwen2-7B,The expectant mother was told she was having a,8,0.7185757571479554
Qwen2-7B,He was fired due to always being a bit,17,0.6236591029578524
Qwen2-7B,They finally solved the case after being given a,11,0.6260427294301534
Qwen2-7B,The actress rolled her eyes and left in a,10,0.7395739969534467
Qwen2-7B,Janice changed her bank password after a security,7,0.18018749253911182
Qwen2-7B,The woman went to the makeup store to buy,15,0.3884029874351243
Qwen2-7B,When Isabella grows up she wants to,31,0.5957949525207829
Qwen2-7B,"The elevator was broken, so Bryce took the stairs",14,0.735410731909874
Qwen2-7B,The door caught the dress and created a huge,9,0.34199278402838473
Qwen2-7B,The ground was bumpy so she wanted a,39,0.36370510992583727
Qwen2-7B,The sight of the vomit caused Courtney to,20,0.6804159153827236
Qwen2-7B,"While concentrating, the accountant always bit her",7,0.8227533512074424
Qwen2-7B,The harsh old principal was known for being,19,0.6940370498915941
Qwen2-7B,"When the rain started, the hikers ran into a",17,0.33283261919510004
Qwen2-7B,The receptionist asked the patient for his,24,0.6157178154012108
Qwen2-7B,It was tragic when whales were found on the,6,0.8451542547285165
Qwen2-7B,Imran couldn't understand why everyone was in a,27,0.4661211988657237
Qwen2-7B,The coach told Clara her form was,26,0.6989002429763803
Qwen2-7B,The intricate corn maze required the participants to,27,0.3876202519842767
Qwen2-7B,The college student's favorite activity was to,16,0.45663572779364425
Qwen2-7B,The patient's condition stemmed from a mutation in a,9,0.8525296022362365
Qwen2-7B,The cruise ship had a water slide on the,9,0.7156264473321344
Qwen2-7B,The basketball team was excited because they won the,11,0.6756643217607083
Qwen2-7B,Mackenzie gushed that her boyfriend was her,31,0.28018437052612505
Qwen2-7B,The guitar player only listens to music if it's,28,0.49353508688387226
Qwen2-7B,The waitress was upset when the customer forgot to,4,0.9486832980505139
Qwen2-7B,His mother was furious when she found his,35,-0.09926555363388254
Qwen2-7B,"A hasty person, Andre was known for his brisk",24,0.6828753769494131
Qwen2-7B,An ulcer on the skin is a painful,22,0.5768433495510528
Qwen2-7B,The competitive students were always afraid to,16,0.37479963792356863
Qwen2-7B,The bear was peacefully sleeping until it,15,0.5608750963198338
Qwen2-7B,Shawn declined a second serving after eating his,22,0.3614417990110959
Qwen2-7B,Frank read by the fireplace while his grandmother,14,0.3029271764460659
Qwen2-7B,His aunt always said he was strong like a,10,0.3943699921394939
Qwen2-7B,"No one helped the amputee, all they did was",16,0.6587973017110149
Qwen2-7B,To cross the small stream would only take a,15,0.6795535420134979
Qwen2-7B,Robert reached into the cabinet for a bottle of,23,0.5629401719351463
Qwen2-7B,Jeff felt like he would never finish at that,16,-0.10558191598757126
Qwen2-7B,Thomas went to the tailor to fix the,23,0.5770029227079437
Qwen2-7B,With good oranges and lemons you can make delicious,23,0.3118928501287816
Qwen2-7B,After a bad day Hannah needs some good,30,0.28136724613859565
Qwen2-7B,The nobleman called the suspicious man a,33,0.6485509075560473
Qwen2-7B,The fisherman was interested in buying a new,9,0.7352844856610271
Qwen2-7B,The penguins enjoyed sliding down the slope of a,16,0.3309817020960774
Qwen2-7B,The knight put his sword into the leather,11,0.2518310500572651
Qwen2-7B,The customer hastily bought a car that cost a,15,0.1047695842678322
Qwen2-7B,"Although he was hungry, Pablo couldn't decide where to",3,1.0
Qwen2-7B,The competition was close and hard to,23,0.5487022895539787
Qwen2-7B,The farm worker collected fresh eggs from the,11,0.5876057834669519
Qwen2-7B,Sam was late to his meeting because the directions were,20,0.667420766568882
Qwen2-7B,The woman said she couldn't move in this,31,0.13424036782744359
Qwen2-7B,The chef had already turned the bananas into,19,0.44954838508993583
Qwen2-7B,The chef cut the large tuna in half with one swift,14,0.6332883620203668
Qwen2-7B,Vince bought a new house that was really,30,0.1785765878142382
Qwen2-7B,Casey didn't go to the movie theater,26,0.5647523183573872
Qwen2-7B,Gabe didn't know which one of his desserts to,21,0.4625770149389393
Qwen2-7B,Her favorite place to snorkel was the secret,15,0.42992460366343865
Qwen2-7B,Stacy had to pick a number between one and,19,0.35571052818056004
Qwen2-7B,"When the robber trapped Dorothy, she began to",14,0.6250886708556227
Qwen2-7B,They perceived her as simple but her writings were,32,0.46882392724460464
Qwen2-7B,When she was only twenty years old she found,25,0.25154565075535545
Qwen2-7B,Greek-style food often uses a lot of,23,0.6603945919440255
Qwen2-7B,Hank found the kitten in a corner of the,21,0.660751311467789
Qwen2-7B,The museum had a fossil of an ancient,26,0.7030136529464428
Qwen2-7B,The fashion model was very self-conscious of her,24,0.33611745950318767
Qwen2-7B,Rome was crowded during the election of a new,16,0.7929342304086704
Qwen2-7B,"Annoyed by Brody's loud talking, Brad told him to",11,0.8506309062626504
Qwen2-7B,"When it's warm out, Jack likes going to the",9,0.7320806164525239
Qwen2-7B,He cleaned off the old silver spoon with his,14,0.4576451540113884
Qwen2-7B,Jean was impressed the tapestry was made using a,23,0.6665584878026884
Qwen2-7B,Stacey was humble and attributed her success to,41,0.32929181682998576
Qwen2-7B,Kelly was lost and drove around in a,8,0.7075275528876865
Qwen2-7B,Marco is usually happy with what he,28,0.5460862664182402
Qwen2-7B,Litterers are people that Mason will openly,48,0.3726582923358267
Qwen2-7B,Cecilia's late grandfather left her his old,28,0.4401640089454527
Qwen2-7B,The accident was so bad that he lost a,12,0.7329984401666305
Qwen2-7B,The company boss was suspicious there was a,33,0.23616517685734606
Qwen2-7B,Mother's beautiful ring was made of real,15,0.4908721704687621
Qwen2-7B,During dinner Tony refused to eat the overcooked,25,0.5047302900875815
Qwen2-7B,"After her car got hit, Chelsea was filled with",20,0.46950439541426314
Qwen2-7B,Rebecca used the string to form a small,21,0.12086629513920127
Qwen2-7B,The baby played with his rubber duck in the,7,0.555936987495826
Qwen2-7B,For breakfast he had eggs and a sweet buttered,13,0.7900678586995414
Qwen2-7B,The man underneath the crane operated the,32,0.5931940064388613
Qwen2-7B,The schoolyard bully always chose the same person to,32,0.5073813661714134
Qwen2-7B,"The family enjoyed the zoo, especially the large",20,0.5928446470659552
Qwen2-7B,Jared covered the scratch on his leg with a,7,0.610785564835303
Qwen2-7B,Sara couldn't wait for her trip to the,31,0.41162054220078403
Qwen2-7B,"During road construction, workers often use a coat of",16,0.17476123173755154
Qwen2-7B,"When Linda had trouble sleeping, she would constantly",34,0.4637940879607343
Qwen2-7B,"When it rained, the tiny dog was crippled by",13,0.6254527722743655
Qwen2-7B,Madison found preparing corn tedious due to the,40,0.4160106586326222
Qwen2-7B,The child was headstrong and not easy to,30,0.6841632401983496
Qwen2-7B,The fancy house had an entrance with a,37,-0.03450211297645738
Qwen2-7B,The blood drive had many volunteers willing to,8,0.7242672088068488
Qwen2-7B,Spirits play crucial roles in Native American,22,0.3837631286413191
Qwen2-7B,His mother silenced him to avoid a,19,0.38412531786330584
Qwen2-7B,Kyle carefully scooped the honey out of the,8,0.8244377203267417
Qwen2-7B,Rachel liked to gift others with handmade hats she,12,0.8024126886283361
Qwen2-7B,On the choppy water the sailors scrambled to,40,0.322995905569723
Qwen2-7B,"When travelling, tourists like to carry items in a",12,0.38866713959604055
Qwen2-7B,The girl had yellow eyes like those of a,29,0.5848444298454838
Qwen2-7B,"After nine months, the baby exited the",11,0.560611910581388
Qwen2-7B,The cowboy enjoyed looking into the distance at the,30,0.5522876258443544
Qwen2-7B,I thought there would be long lines but there were,9,0.6024948132556827
Qwen2-7B,Jen didn't expect Sal's house to be so,30,0.5476164075639214
Qwen2-7B,The wine stain required Kathryn to carefully,30,0.4284218872866266
Qwen2-7B,The elderly man's dank basement was like a,25,0.16425285391813044
Qwen2-7B,She comforted the woman and said help would come,14,0.7079949343076758
Qwen2-7B,"Her expensive new coat was long, soft, and",29,0.3612949270666123
Qwen2-7B,It was announced the  two companies would,5,0.7071067811865475
Qwen2-7B,It was so sunny Kevin needed a,14,0.35763715896999004
Qwen2-7B,The diverted water flowed swiftly along the,28,0.4017129902364647
Qwen2-7B,"During the road trip, the family stopped to get",15,0.5207276449544236
Qwen2-7B,He acted as though he didn't give a,9,0.3865682711353683
Qwen2-7B,To sleep well you need a comfortable,6,0.8382352941176471
Qwen2-7B,The waitress was panicked when the customer started to,20,0.1784385457976532
Qwen2-7B,Being a father and a businessman made his role,22,0.6774417335061659
Qwen2-7B,He promised everyone but they still had,23,0.5304945954958511
Qwen2-7B,Climbing the mountain would be his most impressive,11,0.591461812037611
Qwen2-7B,It surprised everyone when Bob and May,13,0.4303642813177534
Qwen2-7B,Tommy was angry at his mom and started to,14,0.07959171834405435
Qwen2-7B,The end of the day was signaled by the,16,0.4721923162568074
Qwen2-7B,"Outside the arena, the fans made quite a",17,0.362156727476057
Qwen2-7B,Tracy said the worst kind of bug is a,19,0.7141049336755018
Qwen2-7B,"With one minute left, James knew the game would end",10,0.19694638556693236
Qwen2-7B,"After the rain stopped, Caroline played outside in the",10,0.4061711508555291
Qwen2-7B,The firefighter's rescue of the cat was a brave,18,0.6852727213591318
Qwen2-7B,The procession slowly advanced as they sang the,12,0.6313266350255504
Qwen2-7B,Todd immediately noticed the scar on the orca's,18,0.8088179805361758
Qwen2-7B,Lily's favorite part of summer was going to the,15,0.679125694649047
Qwen2-7B,His brand new soccer ball had landed in the,28,0.5776364967054195
Qwen2-7B,"When she was away, the girl really missed her",16,0.5982925906638947
Qwen2-7B,The student spent every recess with his best,3,1.0
Qwen2-7B,The architect had the construction workers build a,30,0.3866122256673072
Qwen2-7B,Brad was embarrassed when his theory was proven to be,5,0.8720815992723809
Qwen2-7B,The tourists enjoyed looking at the scenic,31,0.4167362376977426
Qwen2-7B,"The elderly woman raised a purebred puppy, not a",10,0.6357741377319103
Qwen2-7B,The lucky explorers discovered diamonds in the dark,9,0.5294651389216606
Qwen2-7B,She feared she would administer too large a,13,0.5763524126874764
Qwen2-7B,"Frustrated with his teammates, Julian stormed off in a",12,0.6082437622436423
Qwen2-7B,"While pregnant, any strong odor made Viola",13,0.5699124492412847
Qwen2-7B,"Once lost in the woods, the man started to",16,0.43621133740694196
Qwen2-7B,Dean dropped the cookies and had to make a fresh,3,0.5
Qwen2-7B,The beautiful sounds from the lake came from a,33,0.15572774726876218
Qwen2-7B,The ring is unguarded so it'll be easy to,12,0.5118828012335194
Qwen2-7B,Bradley's wife told him not to drink too much,14,0.48095737093479307
Qwen2-7B,Greg looked down and realized he was missing his,23,0.5682365755532771
Qwen2-7B,Noah started crying when the baseball hit his,21,0.8017049945190694
Qwen2-7B,"After a busy week, I just want to",10,0.5421850051165067
Qwen2-7B,A subtle twitch of the left eye was his,28,0.6638600883711099
Qwen2-7B,"Although she was clumsy, Ellen tried hard not to",13,0.206426750643501
Qwen2-7B,The woman was overdressed in her fancy,18,0.8296907025829172
Qwen2-7B,"At the playground, the child needed someone else to",30,0.16770026149417727
Qwen2-7B,Rudeness was the one thing that made his father,23,0.628263853141772
Qwen2-7B,She hated hard chairs and she wanted a,16,0.6042039296394888
Qwen2-7B,The dumpster often had new things the tenants would,24,0.6867870194328023
Qwen2-7B,The body builder's arm muscles were extremely,32,0.22461094808357465
Qwen2-7B,The water in the bag had begun to,20,0.14199611321679473
Qwen2-7B,Some townspeople believed the proposed law was worth fighting,4,0.9486832980505139
Qwen2-7B,The old recluse in the red house is a,38,0.3287902515675465
Qwen2-7B,They searched for the thief but he was already,5,0.6708203932499368
Qwen2-7B,What had gotten into the food bag was a,23,0.5690522912246252
Qwen2-7B,They knew she was a hiker because of her,28,0.7726888191087333
Qwen2-7B,The tennis player won the match with a high,15,0.38697136256193165
Qwen2-7B,"A selfish, stingy person, Devon never liked to",13,0.5923048798505526
Qwen2-7B,Henry hated the spring because the weather was always,18,0.5179194867240877
Qwen2-7B,Gerard was a model because he had perfect,25,0.6184257891245762
Qwen2-7B,The safest seats in a car are in the,5,0.49999999999999994
Qwen2-7B,The thing the princess wanted to see was a,41,0.29058032569130826
Qwen2-7B,"At breakfast, her kids really love to drink",8,0.4664771853332245
Qwen2-7B,"Gaby disliked spinach, a veggie she claimed she'd always",15,0.6344160179478932
Qwen2-7B,Elle's grandmother applied her face powder using a,10,0.7201115233494085
Qwen2-7B,Her father had written so she waited for the,19,0.13174265043891864
Qwen2-7B,She took so long in deciding what to,6,0.6377481392176932
Qwen2-7B,The family's couch and TV were both in the,13,0.7908268875827241
Qwen2-7B,Before placing each brick he applied a glob of,8,0.7990704058551497
Qwen2-7B,"The statue was made of many stones, including",30,0.36811822439752223
Qwen2-7B,Paige injured her back when she slipped outside on,13,0.4049918690769162
Qwen2-7B,The best friends enjoyed attending yoga class at the,13,0.16979647783465868
Qwen2-7B,In the loud restaurant it was hard to,6,0.8451542547285165
Qwen2-7B,Shawn hoped winning the lottery would make him,8,0.926158422495254
Qwen2-7B,"It is important to share toys, and not",33,0.4367980524493762
Qwen2-7B,"New to fishing, Frank did not use the right",11,0.123950136601927
Qwen2-7B,These days milk is usually not sold from a,27,0.39309917656198984
Qwen2-7B,"After the strap broke, Jenna bought a new",22,0.44114792326918023
Qwen2-7B,"He has good intentions, but he can be a",38,0.3531228866237052
Qwen2-7B,The bird was so startled it fell from its,6,0.6
Qwen2-7B,"When he couldn't find his phone, Jim started to",13,0.30697030675746023
Qwen2-7B,"During the championship game, the crowd was easy to",24,0.06552129788328068
Qwen2-7B,"At one period, the flapper dress was in",24,0.45563144437772346
Qwen2-7B,Brandon's shiny car was of the latest,15,0.646340022708475
Qwen2-7B,"On casual Fridays, the staff wears pants made of",18,0.2239966493532877
Qwen2-7B,After having a puppy they needed a new,30,0.3223154429072365
Qwen2-7B,"To finish seasoning the salmon, Marge needed",23,0.19877131295972714
Qwen2-7B,Jacob's mother asked him for a glass of,6,0.5294117647058824
Qwen2-7B,"Stubborn and prideful, Kevin never backed down from a",11,0.7801455551360372
Qwen2-7B,The girls' mother hated it when they would,21,0.004829814982991379
Qwen2-7B,Several girls fought over the store's last remaining,36,0.17309609651066735
Qwen2-7B,The place on the corner is his favorite,24,0.6439589124396644
Qwen2-7B,Winston's prized chess set was missing a,7,0.14545454545454545
Qwen2-7B,Troy enjoyed playing with his dog outside on the,19,0.2988950639016963
Qwen2-7B,Nate behaves differently to his boss than to his,18,0.39154318322350035
Qwen2-7B,The canoers admired the beauty of the nearby,30,0.4584084219188654
Qwen2-7B,The boys were seeing how many ants they could,17,0.4282388123374116
Qwen2-7B,"When the market crashed, many stores' profits went",8,0.6468665190255973
Qwen2-7B,The rampaging giant squashed their car like a,12,0.3386842163844201
Qwen2-7B,"He said the dog wasn't a person, but rather a",20,0.6572682902345243
Qwen2-7B,Rick will probably feel cold if his head is,19,0.5406950428508196
Qwen2-7B,Jody dumped the icing on the cake in one,26,0.5866108228871585
Qwen2-7B,To keep her hands warm Katy wore a fur,12,0.5255936285474347
Qwen2-7B,The man wasn't handsome but he had great,37,0.5036169424173761
Qwen2-7B,The sailors couldn't wait to get back to,13,0.46056862983915
Qwen2-7B,Martha went to the craft store to buy colored,21,0.4787350145983233
Qwen2-7B,"To honor her deceased uncle, the niece sang a",9,0.8440722199302099
Qwen2-7B,The competitive club at school excluded the,39,0.4873607355719954
Qwen2-7B,"Despite her parents' wishes, the teenage girl pierced her",11,0.5894556745377231
Qwen2-7B,Laura jumped up and shouted after burning her,12,0.6245445893256494
Qwen2-7B,"After removing the lid, the foul odor began to",27,0.8496025517937831
Qwen2-7B,"While hiking in the woods, Chris spotted a large",27,0.37685925856128144
Qwen2-7B,"Excited for his birthday presents, the boy could barely",11,0.29624745919184786
Qwen2-7B,Brian investigated the attic sounds and found a,12,0.7788051116883785
Qwen2-7B,When they pooled their money they could afford the,40,0.614668992838127
Qwen2-7B,The confident man claimed he could produce a hit,10,0.3438370336713392
Qwen2-7B,"Months before the gala, Avery bought an expensive",20,0.4676492038978621
Qwen2-7B,"After the horror movie, Logan's heart raced with",11,0.42535557371826366
Qwen2-7B,Hunter wanted to relax but he couldn't find a,28,0.5993201867869681
Qwen2-7B,"His pride injured, John challenged Robert to a",9,-0.2034190510862431
Qwen2-7B,The man bought his girlfriend a diamond,5,0.8944271909999159
Qwen2-7B,"When John went to the salon, he bought some",19,0.14318680908551285
Qwen2-7B,Jenna purchased a beach house quite close to the,19,0.8021388337587488
Qwen2-7B,"When he accidentally sliced his leg, blood started to",21,0.5587911289965684
Qwen2-7B,The man was in pain because his arm was,21,0.6649884166592682
Qwen2-7B,Mia left the theater looking like she had seen a,5,0.35355339059327373
Qwen2-7B,"Though gruff to his friends, Hank wasn't to his",26,0.6276287216386747
Qwen2-7B,The energetic little puppy loves to play,14,0.45270008905221787
Qwen2-7B,"After receiving a treat, the dog's tail began to",3,0.8660254037844387
Qwen2-7B,Tiffany hated it when her boss called her,32,0.06583554493833543
Qwen2-7B,When Diana failed the exam it was hard to,35,0.021222115142963568
Qwen2-7B,Sandra enjoyed going on walks right before,17,-0.02260564568636715
Qwen2-7B,You should always read it over before signing a,5,0.8207826816681234
Qwen2-7B,"While preparing the meal, the chef couldn't find his",21,0.2630505660857799
Qwen2-7B,"With the female deer was her mate, a large",11,0.825064376455827
Qwen2-7B,"When the babysitter arrived, the children all",29,0.3191678976466676
Qwen2-7B,"Carly was known for having a loud, distinct",8,0.7637626158259735
Qwen2-7B,It was clear that the enraged teenager wasn't,32,0.35245387097115954
Qwen2-7B,The museum curator placed the sculpture back in its,16,0.5300185633689412
Qwen2-7B,"Before going to bed, Kat always washes her",5,0.8999999999999998
Qwen2-7B,Jake hated the game and he said it wasn't,10,0.5592500638011151
Qwen2-7B,The train arrived at ten o'clock on the,6,0.030358837035945815
Qwen2-7B,The best way to travel at sea is to,18,0.5490302695709565
Qwen2-7B,In the past it was customary for knights to,22,0.33464886759786744
Qwen2-7B,The newest game console was something Mark,14,0.08721676726978612
Qwen2-7B,Garrett met his soon-to-be wife at the,37,0.2878767648892412
Qwen2-7B,The rabbits ate everything growing in Elle's veggie,3,1.0
Qwen2-7B,The robber ordered the bank teller to open the,6,0.48571428571428577
Qwen2-7B,"To warm up, Richard enjoyed a bowl of",11,0.6461347526461296
Qwen2-7B,The family was nomadic and they would always,17,0.7283707537133578
Qwen2-7B,Jim knew his responsibilities but proceeded to,32,0.33620040358437725
Qwen2-7B,Garrett fell asleep and missed everything that was,18,0.5220702001926335
Qwen2-7B,The baker said those lemons were especially,16,0.5303803094485521
Qwen2-7B,The weatherman announced that the day would have heavy,11,0.5001966396545247
Qwen2-7B,The teenagers all jumped up when they heard the,29,0.6534836904560203
Qwen2-7B,The doctor was worried because the patient hurt his,31,0.5791803490918461
Qwen2-7B,"Oliver tried, but the lever was too stiff to",8,0.51234753829798
Qwen2-7B,The products were faulty so they made another,22,0.5408266631789532
Qwen2-7B,Stacy was not careful and spilled wine on her,13,0.5242897362812804
Qwen2-7B,"Sally froze upon seeing the snake, crippled by",5,0.7071067811865475
Qwen2-7B,The smell of rose perfume indicated that Gabby was,32,0.5636936991090834
Qwen2-7B,"Although she tried, the gardener couldn't make the crows",16,0.3363744810450206
Qwen2-7B,The children slid down the snow bank on a,6,0.50709255283711
Qwen2-7B,Rain water leaked through the big cracks on the,15,0.7410712462440336
Qwen2-7B,The lazy girl ate soup straight out of the,5,0.8999999999999998
Qwen2-7B,From deep within the jungle they heard a,14,0.38175022344679654
Qwen2-7B,The baby started to cry when it had to,22,0.2214060585642091
Qwen2-7B,Lindsay stored her homemade lemonade in a,15,0.38317857089258434
Qwen2-7B,The man was enraged but he didn't want to,26,0.4251847322103715
Qwen2-7B,"After receiving bad news, the patient began to",9,0.581387732848254
Qwen2-7B,The postman walked up and handed the man his,3,1.0
Qwen2-7B,Daniel's attempt at the dance routine looked more like a,41,0.2516920546317586
Qwen2-7B,The woman was infuriated to find her luggage was,9,0.9530652303663865
Qwen2-7B,The doctor found the medicine and prescribed the correct,7,0.981980506061966
Qwen2-7B,He kissed the girl because it was a,41,0.27910437997991855
Qwen2-7B,Farm animals tend to be easy to,34,-0.09268069536506084
Qwen2-7B,It is difficult for any large business to,27,0.42524792290250724
Qwen2-7B,George asked whether or not the artifact was,14,0.6081225178379515
Qwen2-7B,In medieval times a popular instrument was the,26,0.2911819606340662
Qwen2-7B,"As boss, Colin had many people he wanted to",24,0.5992453289436322
Qwen2-7B,Susan's favorite part of her garden was the new,41,0.46046561126964
Qwen2-7B,When they lost their dog their neighbors helped to,12,0.827734748998416
Qwen2-7B,In Jessica's old dress there was a big,11,0.7650904819937432
Qwen2-7B,Children laughing was the grumpy old man's,43,0.38889762896147445
Qwen2-7B,"Although he ordered a whole rack, Cooper ate one",15,0.5183306014802226
Qwen2-7B,Kevin frowned when he awoke and the light was,11,0.3666692778620482
Qwen2-7B,The baby laughed when he saw the bunny,10,0.5940262055390594
Qwen2-7B,Matt preferred to fill his burritos with,16,0.6832079175079319
Qwen2-7B,"Lost on our hike, we decided to walk",25,0.5329862551527529
Qwen2-7B,The little boy had been running when he,4,0.9486832980505139
Qwen2-7B,Jason missed work after he caught a stomach,5,0.7
Qwen2-7B,The elderly man had trouble walking due to his,21,0.384772886134513
Qwen2-7B,"Ejected at the playoff game, the athlete began to",26,0.4255527641150401
Qwen2-7B,The toddler shook with fear when he heard a,36,-0.004179236742322136
Qwen2-7B,"When the board's members disagreed, they sought out the",33,0.1792738278705204
Qwen2-7B,"After the accident, Dan had an artificial",11,0.639122680921667
Qwen2-7B,"Every morning, Ben went for a walk with his",10,0.5538536021695313
Qwen2-7B,When buying used clothing always beware of,27,0.36295066914993634
Qwen2-7B,Be careful not to cut yourself with the,6,0.942857142857143
Qwen2-7B,"In physics lab, Roland had to calculate the",50,0.29678732293488286
Qwen2-7B,After the race Jose was devastated he had placed,10,0.8986463755309779
Qwen2-7B,Becca took all of the cookies and left me,12,0.407070622157618
Qwen2-7B,She stuck out her hand to show Peter the,34,0.28758038647128514
Qwen2-7B,"While running, Clayton tripped on a shallow",25,0.44553115977599994
Qwen2-7B,The guilty children fled to avoid their mother's,20,0.6969353719436839
Qwen2-7B,The man quietly cried as he read his father's,12,0.513066602527969
Qwen2-7B,Marissa had been distracted by him when she,37,0.5462889952849685
Qwen2-7B,Tom cried out when Tory poked him in the,12,0.2583526863793319
Qwen2-7B,The beautiful view was obscured by the,19,0.713864289189642
Qwen2-7B,Winston's first attempt at sewing was sadly a complete,8,0.8117540630909458
Qwen2-7B,One mild tasting herb used in cooking is the,39,0.4513895426540062
Qwen2-7B,After a run Ricky's face is always,8,0.2886751345948129
Qwen2-7B,The child scraped his legs after he,7,0.39405520311955033
Qwen2-7B,Kyle got frustrated because his mother struggled to,33,0.6036341642176741
Qwen2-7B,The pilot had trouble seeing due to the thick,8,0.7325886315065459
Qwen2-7B,Every time Max got a vaccination he would,24,0.309601718017081
Qwen2-7B,It was so cloudy outside Joseph couldn't see the,20,0.500761319477797
Qwen2-7B,Julia fastened the scarf around her neck with a,17,0.48901592696039065
Qwen2-7B,"Ali disliked her boss, a man she had come to",16,0.6918024199403282
Qwen2-7B,Tom was thrilled to be appointed the new,27,0.3733481287055174
Qwen2-7B,The jewelry in the unlocked case was easy to,16,0.721092939373236
Qwen2-7B,The pool was expansive and took a while to,15,0.0810196661972091
Qwen2-7B,To clear her mind Daniella went to the,22,0.6950093792913083
Qwen2-7B,The old nun who usually punished the kids was,35,0.49886798990788556
Qwen2-7B,He knew Agatha was ill when he heard her,20,0.41793180517882994
Qwen2-7B,The group's mistakes made the entire heist a,24,0.6257113732146314
